epoch,train_loss,val_loss,val_board_acc,val_per_square_acc,lr_encoder,lr_new,seconds
0,0.8415246078578982,0.7622195392981306,0.0007507507507507507,0.7633258258258259,0.0,4.666666666666666e-05,308
1,0.7178934282935783,0.44342006110326126,0.010885885885885885,0.8524774774774775,0.0,9.333333333333332e-05,270
2,0.379726115275842,0.1630894118680845,0.10735735735735735,0.9459635416666666,0.0,0.00014,270
3,0.23426580321244558,0.09977601807845572,0.27214714714714716,0.9679757882882883,0.0,0.00014,270
4,0.18723019636939486,0.0831801951202136,0.3502252252252252,0.9732545045045045,0.0,0.00013980446153687991,270
5,0.04681282529026526,0.020272162298767996,0.8930180180180181,0.9956831831831832,4.666666666666666e-06,0.00013921893967792324,769
6,0.03946983562222098,0.03238407230706831,0.7837837837837838,0.9928913288288288,9.333333333333333e-06,0.0001382467088988749,769
7,0.048476014398058744,0.03117140938883421,0.7672672672672672,0.9927271021021021,1.4e-05,0.00013689320630862483,769
8,0.04308904289057516,0.03339021955498784,0.8618618618618619,0.9942110078828829,1.4e-05,0.00013516600124268918,769
9,0.038406532306320566,0.03465241864591712,0.8303303303303303,0.9939236111111112,1.3974807637377886e-05,0.00013307475293241616,769
10,0.032440473669121346,0.04020160341610175,0.7263513513513513,0.9913253096846847,1.3899412061061525e-05,0.0001306311564866458,768
11,0.026997918225683766,0.042963336863862306,0.8224474474474475,0.9928620026276276,1.377435649790596e-05,0.00012784887748791752,768
12,0.023673135189305538,0.03128147451323392,0.899024024024024,0.9950614677177178,1.3600541976109362e-05,0.00012474347556898932,768
13,0.022241910192325895,0.030971884663969076,0.9245495495495496,0.9956421265015015,1.3379220833284234e-05,0.00012133231739705974,768
14,0.019917981773854614,0.03090568616967626,0.918918918918919,0.9958122184684685,1.311198769333619e-05,0.00011763447955232037,769
15,0.01945380036065869,0.03143526215462607,0.9174174174174174,0.9956655874624625,1.2800767977162188e-05,0.00011367064184398123,769
16,0.01658739285060528,0.04082442149227243,0.8494744744744744,0.9942579298048048,1.2447804029948848e-05,0.00010946297166038907,769
17,0.014317169902867235,0.0338674108093483,0.9222972972972973,0.9957183746246246,1.2055638965023989e-05,0.00010503499999999999,769
18,0.013105502837052764,0.0342567192072664,0.9241741741741741,0.9954251126126126,1.162709834066684e-05,0.00010041148987649084,769
19,0.012145224565747672,0.03294689668837236,0.9226726726726727,0.995777027027027,1.1165269801895876e-05,9.561829783394202e-05,769
20,0.010542120981236988,0.0352968937343203,0.9358108108108109,0.9960878847597597,1.0673480833915723e-05,9.068222934655452e-05,768
21,0.009675241127105194,0.03560210434084552,0.9207957957957958,0.9957007789039038,1.0155274787509988e-05,8.563088891156506e-05,769
22,0.00856419489280084,0.03265793777660161,0.9192942942942943,0.995947118993994,9.614385349117699e-06,8.049252567369987e-05,769
23,0.007191051897379363,0.03549092324951047,0.9391891891891891,0.9961348066816816,9.054709639536917e-06,7.529587544449865e-05,768
24,0.006645262880198081,0.03571755789007183,0.9391891891891891,0.9961406719219219,8.480280135080114e-06,7.006999999999998e-05,769
25,0.0057737471792541776,0.03644580998739125,0.9421921921921922,0.9960585585585585,7.895235613489924e-06,6.484412455550135e-05,768
26,0.0052610590458642545,0.03482017712444922,0.9485735735735735,0.996410472972973,7.303791333950665e-06,5.964747432630011e-05,768
27,0.004649248394606265,0.03661809034862029,0.9553303303303303,0.9966392173423423,6.710208666049337e-06,5.4509111088434935e-05,769
28,0.004164633542776388,0.033956216241206774,0.9620870870870871,0.9967799831081081,6.118764386510076e-06,4.945777065344546e-05,769
29,0.0037577487660567484,0.036140521348564,0.9557057057057057,0.9965688344594594,5.533719864919888e-06,4.452170216605799e-05,769
30,0.0034222225571228413,0.03578101542769685,0.9624624624624625,0.996703734984985,4.959290360463083e-06,3.972851012350916e-05,768
31,0.0028736530030729433,0.036810207408440695,0.9617117117117117,0.9967447916666666,4.399614650882302e-06,3.510500000000001e-05,769
32,0.0024632953682067124,0.039161391796222855,0.9583333333333334,0.9966098911411412,3.858725212490009e-06,3.067702833961091e-05,769
33,0.0017245012257650542,0.039071631176907144,0.9628378378378378,0.99682690503003,3.3405191660842797e-06,2.6469358156018766e-05,769
34,0.0015447729183285595,0.03747832746900251,0.9658408408408409,0.9969676707957958,2.8487301981041236e-06,2.2505520447679594e-05,768
35,0.0013668219954677664,0.03833415299213694,0.9658408408408409,0.9969090183933934,2.386901659333162e-06,1.8807682602940258e-05,769
36,0.0011230561291419843,0.03919875017337538,0.9650900900900901,0.9969090183933934,1.9583610349760107e-06,1.5396524431010675e-05,769
37,0.0009506676640487235,0.04137384629374766,0.9617117117117117,0.9967447916666666,1.5661959700511541e-06,1.2291122512082491e-05,769
38,0.0006800793515640975,0.04166494512109672,0.9677177177177178,0.9968679617117117,1.2132320228378124e-06,9.508843513354201e-06,769
39,0.0007308522589163309,0.041466401216890825,0.9665915915915916,0.9968855574324325,9.020123066638112e-07,7.065247067583836e-06,768
40,0.0006196508947060907,0.04109853091595674,0.9688438438438438,0.9969031531531531,6.347791667157663e-07,4.973998757310804e-06,769
41,0.0005594241555250372,0.040691791305200675,0.9703453453453453,0.9969676707957958,4.134580238906382e-07,3.2467936913751743e-06,768
42,0.0004039494132308809,0.04079030871767185,0.9692192192192193,0.9969207488738738,2.396435020940424e-07,1.8932911011250741e-06,768
43,0.000480477548985583,0.040903375311254674,0.96996996996997,0.9969324793543544,1.1458793893847477e-07,9.210603220767623e-07,768
44,0.00034505890175325966,0.0409533087371639,0.9692192192192193,0.9969266141141141,3.919236262211203e-08,3.355384631200735e-07,768
